"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"U9 - C","HLU9C036","2021-12-04","15:00","SENECAL HALF ICE 2","BLACKBURN STINGERS 9C1","METCALFE JETS U9 C2",""
"U9 - B","HLU9B068","2021-12-04","15:00","SENECAL HALF ICE 1","ORLEANS RUSH U9 B2","GLOUCESTER CENTRE COUGARS U9 B1",""
"U11 - C","HLU11C23","2021-12-04","15:00","METCALFE","METCALFE JETS U11 C1 (0)","RUSSELL WARRIORS U11 C1 (8)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B45","2021-12-04","15:30","BARRETT WEST","LEITRIM HAWKS U13 B2 (0)","GLOUCESTER CENTRE COUGARS U13B2 (1)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B150","2021-12-04","16:00","METCALFE","METCALFE JETS U11 B1 (1)","BLACKBURN STINGERS U11 B1 (3)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A24","2021-12-04","16:00","SENECAL","LEITRIM HAWKS U13 A1 (4)","METCALFE JETS U13 A1 (5)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B146","2021-12-04","16:00","BLACKBURN","LEITRIM HAWKS U18 B1 (1)","BLACKBURN STINGERS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B58","2021-12-04","16:30","BARRETT WEST","LEITRIM HAWKS U13 B3 (2)","LEITRIM HAWKS U13 B1 (2)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B135","2021-12-04","17:00","ARMSTRONG","BLACKBURN STINGERS U15 B1 (1)","GLOUCESTER CENTRE COUGARS U15B1 (5)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C22","2021-12-04","17:00","BLACKBURN","ORLEANS RUSH U11 C1 (5)","LEITRIM HAWKS U11 C1 (1)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B230","2021-12-04","17:30","BARRETT WEST","ORLEANS RUSH U15 B2 (3)","GLOUCESTER CENTRE COUGARS U15 B2 (8)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B149","2021-12-04","18:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U11 B2 (4)","LEITRIM HAWKS U11 B2 (2)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B237","2021-12-04","18:30","BARRETT WEST","LEITRIM HAWKS U15 B3 (6)","METCALFE JETS U15 B2 (2)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A25","2021-12-04","19:00","BLACKBURN","BLACKBURN STINGERS U13 A1 (4)","ORLEANS RUSH U13 A1 (6)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18267","2021-12-04","19:30","BARRETT WEST","GLOUCESTER CENTRE COUGARS U18 B1 (4)","LEITRIM HAWKS U18 B4 (2)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A39","2021-12-04","20:00","BLACKBURN","BLACKBURN STINGERS U15 A1 (1)","RUSSELL WARRIORS U15 A1 (6)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18253","2021-12-04","20:30","BARRETT WEST","LEITRIM HAWKS U18 B2 (5)","METCALFE JETS U18 B3 (0)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18254","2021-12-04","21:00","BLACKBURN","BLACKBURN STINGERS U18 B2 (2)","RUSSELL WARRIORS U18 B2 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A044","2021-12-04","21:30","BARRETT WEST","LEITRIM HAWKS U18 A1 (3)","BLACKBURN STINGERS U18 A1 (1)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C039","2021-12-05","09:00","RUSSELL HALF ICE 2","RUSSELL WARRIORS U9 C1","ORLEANS RUSH U9 C1",""
"U9 - B","HLU9B070","2021-12-05","09:00","RUSSELL HALF ICE 1","RUSSELL WARRIORS U9 B2","BLACKBURN STINGERS U9 B2",""
"U9 - C","HLU9C038","2021-12-05","11:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 C1","METCALFE JETS U9 C2",""
"U9 - C","HLU9C037","2021-12-05","11:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 C2","BLACKBURN STINGERS 9C1",""
"U13 - B","HLU13B42","2021-12-05","12:00","POTVIN","GLOUCESTER CENTRE COUGARS U13B1 (2)","LEITRIM HAWKS U13 B2 (2)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C24","2021-12-05","12:30","BARRETT WEST","LEITRIM HAWKS U11 C1","BLACKBURN STINGERS U11 C1","Game Results Need to be Entered"
"U13 - C","HLU13C06","2021-12-05","13:00","METCALFE","METCALFE JETS U13 C1 (6)","LEITRIM HAWKS U13 C1 (1)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A40","2021-12-05","13:00","POTVIN","GLOUCESTER CENTRE COUGARS U15A1 (2)","ORLEANS RUSH U15 A1 (2)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B219","2021-12-05","13:30","BARRETT WEST","ORLEANS RUSH U15 B2 (2)","LEITRIM HAWKS U15 B2 (6)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B151","2021-12-05","14:00","ARMSTRONG","LEITRIM HAWKS U11 B1","GLOUCESTER CENTRE COUGARS U11 B1","Game Results Need to be Entered"
"U15 - B2","HLU15B239","2021-12-05","14:00","POTVIN","GLOUCESTER CENTRE COUGARS U15 B2 (4)","BLACKBURN STINGERS U15 B2 (2)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B72","2021-12-05","14:00","RUSSELL","RUSSELL WARRIORS U13 B2 (3)","METCALFE JETS U13 B1 (2)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B160","2021-12-05","14:30","MANLEY","METCALFE JETS U11 B2 (0)","ORLEANS RUSH U11 B2 (8)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B138","2021-12-05","14:30","BARRETT WEST","LEITRIM HAWKS U15 B1 (1)","ORLEANS RUSH U15 B1 (6)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A18","2021-12-05","15:00","METCALFE","METCALFE JETS U11 A1 (1)","LEITRIM HAWKS U11 A1 (5)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B153","2021-12-05","15:30","MANLEY","ORLEANS RUSH U11 B1 (1)","BLACKBURN STINGERS U11 B1 (2)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B228","2021-12-05","15:30","BARRETT WEST","LEITRIM HAWKS U15 B3 (3)","ORLEANS RUSH U15 B3 (0)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A20","2021-12-05","16:00","METCALFE","LEITRIM HAWKS U13 A2 (2)","ORLEANS RUSH U13 A1 (3)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B151","2021-12-05","18:00","BLACKBURN","ORLEANS RUSH U18 B1 (0)","LEITRIM HAWKS U18 B3 (0)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18255","2021-12-05","19:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U18 B1 (0)","RUSSELL WARRIORS U18 B2 (6)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A053","2021-12-05","20:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U18 A1 (1)","BLACKBURN STINGERS U18 A1 (3)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18256","2021-12-05","20:00","METCALFE","METCALFE JETS U18 B2 (3)","ORLEANS RUSH U18 B2 (5)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B152","2021-12-05","21:00","METCALFE","METCALFE JETS U18 B1 (2)","LEITRIM HAWKS U18 B5 (3)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B153","2021-12-06","20:30","BARRETT WEST","LEITRIM HAWKS U18 B3 (2)","RUSSELL WARRIORS U18 B1 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A022","2021-12-06","21:30","BARRETT WEST","LEITRIM HAWKS U18 A1 (3)","ORLEANS RUSH U18 A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A048","2021-12-07","19:15","FRIEL2","ORLEANS RUSH U18 A1 (1)","LEITRIM HAWKS U18 A1 (3)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B241","2021-12-07","20:00","METCALFE","LEITRIM HAWKS U15 B3 (3)","BLACKBURN STINGERS U15 B2 (1)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B154","2021-12-07","20:15","FRIEL2","ORLEANS RUSH U18 B1 (2)","LEITRIM HAWKS U18 B5 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18269","2021-12-07","20:30","BARRETT WEST","RUSSELL WARRIORS U18 B2 (2)","BLACKBURN STINGERS U18 B2 (1)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A049","2021-12-07","21:00","METCALFE","METCALFE JETS U18 A1 (3)","GLOUCESTER CENTRE COUGARS U18 A1 (3)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18258","2021-12-07","21:30","BARRETT WEST","LEITRIM HAWKS U18 B4 (3)","METCALFE JETS U18 B3 (7)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A24","2021-12-08","19:30","BARRETT WEST","LEITRIM HAWKS U15 A1","RUSSELL WARRIORS U15 A1","Game Results Need to be Entered"
"U18 - B1","HLU18B135","2021-12-08","20:30","BARRETT WEST","RUSSELL WARRIORS U18 B1 (1)","ORLEANS RUSH U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B157","2021-12-08","21:30","BARRETT WEST","LEITRIM HAWKS U18 B5 (2)","ORLEANS RUSH U18 B3 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18259","2021-12-09","20:30","BARRETT WEST","LEITRIM HAWKS U18 B4","METCALFE JETS U18 B2","Game Results Need to be Entered"
"U18 - A","HLU18A050","2021-12-09","21:00","POTVIN","GLOUCESTER CENTRE COUGARS U18 A1 (0)","LEITRIM HAWKS U18 A2 (7)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B112","2021-12-10","18:00","METCALFE","LEITRIM HAWKS U15 B4 (1)","BLACKBURN STINGERS U15 B1 (3)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B34","2021-12-10","18:00","RUSSELL","LEITRIM HAWKS U13 B1","BLACKBURN STINGERS U13 B1","Game Results Need to be Entered"
"U18 - B2","HLU18260","2021-12-10","19:00","METCALFE","METCALFE JETS U18 B2 (4)","METCALFE JETS U18 B3 (0)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A051","2021-12-10","19:00","RUSSELL","RUSSELL WARRIORS U18 A1 (6)","BLACKBURN STINGERS U18 A1 (3)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18261","2021-12-10","20:00","SENECAL","ORLEANS RUSH U18 B2 (3)","RUSSELL WARRIORS U18 B2 (1)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B158","2021-12-10","20:30","BARRETT WEST","LEITRIM HAWKS U18 B3 (1)","LEITRIM HAWKS U18 B5 (2)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B159","2021-12-10","21:00","SENECAL","ORLEANS RUSH U18 B3 (2)","METCALFE JETS U18 B1 (4)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A052","2021-12-10","21:30","BARRETT WEST","LEITRIM HAWKS U18 A1 (3)","LEITRIM HAWKS U18 A2 (3)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B077","2021-12-11","10:00","METCALFE HALF ICE 2","METCALFE JETS U9 B3","METCALFE JETS U9 B1",""
"U11 - B","HLU11B154","2021-12-11","11:00","ARMSTRONG","LEITRIM HAWKS U11 B3 (0)","GLOUCESTER CENTRE COUGARS U11 B2 (0)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B038","2021-12-11","11:00","BLACKBURN 1 HALF","METCALFE JETS U9 B2","BLACKBURN STINGERS U9 B1",""
"U15 - B2","HLU15B242","2021-12-11","12:00","METCALFE","METCALFE JETS U15 B2 (4)","GLOUCESTER CENTRE COUGARS U15 B2 (2)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C28","2021-12-11","12:00","RUSSELL","LEITRIM HAWKS U11 C1","RUSSELL WARRIORS U11 C1","Game Results Need to be Entered"
"U9 - A","HLU9A021","2021-12-11","12:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 A2","METCALFE JETS U9 A1",""
"U13 - B","HLU13B60","2021-12-11","13:30","BARRETT WEST","LEITRIM HAWKS U13 B3 (10)","LEITRIM HAWKS U13 B2 (0)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B072","2021-12-11","14:00","SENECAL HALF ICE 2","ORLEANS RUSH U9 B1","RUSSELL WARRIORS U9 B1",""
"U9 - B","HLU9B071","2021-12-11","14:00","SENECAL HALF ICE 1","ORLEANS RUSH U9 B2","RUSSELL WARRIORS U9 B2",""
"U13 - A","HLU13A27","2021-12-11","14:30","BARRETT WEST","LEITRIM HAWKS U13 A1 (1)","BLACKBURN STINGERS U13 A1 (3)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C042","2021-12-11","15:00","SENECAL HALF ICE 1","ORLEANS RUSH U9 C1","GLOUCESTER CENTRE COUGARS U9C1",""
"U9 - C","HLU9C041","2021-12-11","15:00","METCALFE HALF ICE 2","METCALFE JETS U9 C2","RUSSELL WARRIORS U9 C1",""
"U9 - C","HLU9C040","2021-12-11","15:00","METCALFE HALF ICE 1","METCALFE JETS U9 C1","LEITRIM HAWKS U9 C2",""
"U9 - B","HLU9B073","2021-12-11","15:00","SENECAL HALF ICE 2","GLOUCESTER CENTRE COUGARS U9 B1","BLACKBURN STINGERS U9 B2",""
"U18 - B1","HLU18B160","2021-12-11","15:15","FRIEL2","ORLEANS RUSH U18 B1 (0)","RUSSELL WARRIORS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18227","2021-12-11","15:30","BARRETT WEST","BLACKBURN STINGERS U18 B2 (3)","METCALFE JETS U18 B3 (3)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B61","2021-12-11","16:00","SENECAL","LEITRIM HAWKS U13 B1 (0)","RUSSELL WARRIORS U13 B2 (6)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C30","2021-12-11","16:00","METCALFE","METCALFE JETS U13 C1 (2)","LEITRIM HAWKS U13 C1 (1)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A020","2021-12-11","16:15","FRIEL2","ORLEANS RUSH U18 A1 (4)","GLOUCESTER CENTRE COUGARS U18 A1 (2)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B125","2021-12-11","16:30","BARRETT WEST","GLOUCESTER CENTRE COUGARS U15B1 (5)","LEITRIM HAWKS U15 B4 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B62","2021-12-11","17:00","SENECAL","GLOUCESTER CENTRE COUGARS U13B1 (1)","BLACKBURN STINGERS U13 B1 (9)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18257","2021-12-11","17:00","ARMSTRONG","LEITRIM HAWKS U18 B2 (7)","METCALFE JETS U18 B2 (2)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C25","2021-12-11","17:00","BLACKBURN","BLACKBURN STINGERS U11 C1 (7)","METCALFE JETS U11 C1 (1)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B141","2021-12-11","17:30","BARRETT WEST","LEITRIM HAWKS U15 B1 (3)","BLACKBURN STINGERS U15 B1 (5)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A20","2021-12-11","18:00","BLACKBURN","LEITRIM HAWKS U11 A1","METCALFE JETS U11 A1","Game Results Need to be Entered"
"U13 - C","HLU13C31","2021-12-11","18:00","SENECAL","ORLEANS RUSH U13 C1 (1)","EMBRUN PANTHERS U13 C1 (5)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B63","2021-12-11","19:00","BLACKBURN","ORLEANS RUSH U13 B2 (0)","ORLEANS RUSH U13 B1 (4)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B166","2021-12-11","19:30","MANLEY","LEITRIM HAWKS U18 B5 (2)","LEITRIM HAWKS U18 B3 (1)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B155","2021-12-11","20:00","BLACKBURN","METCALFE JETS U18 B1 (1)","BLACKBURN STINGERS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A030","2021-12-11","20:30","MANLEY","METCALFE JETS U18 A1 (2)","LEITRIM HAWKS U18 A2 (3)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A41","2021-12-11","21:00","BLACKBURN","LEITRIM HAWKS U15 A2 (3)","METCALFE JETS U15 A1 (1)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B076","2021-12-12","09:00","RUSSELL HALF ICE 1","RUSSELL WARRIORS U9 B2","ORLEANS RUSH U9 B2",""
"U9 - A","HLU9A033","2021-12-12","09:00","RUSSELL HALF ICE 2","RUSSELL WARRIORS U9 A1","LEITRIM HAWKS U9 A1",""
"U13 - C","HLU13C32","2021-12-12","10:00","RUSSELL","RUSSELL WARRIORS U13 C1 (11)","LEITRIM HAWKS U13 C1 (0)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A032","2021-12-12","10:00","BLACKBURN","BLACKBURN STINGERS U18 A1 (0)","RUSSELL WARRIORS U18 A1 (2)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B52","2021-12-12","11:00","BLACKBURN","BLACKBURN STINGERS U13 B1 (7)","LEITRIM HAWKS U13 B3 (0)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B155","2021-12-12","12:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U11 B1 (7)","METCALFE JETS U11 B1 (2)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B083","2021-12-12","13:00","POTVIN HALF ICE 1","ORLEANS RUSH U9 B2","BLACKBURN STINGERS U9 B2",""
"U9 - A","HLU9A032","2021-12-12","13:00","POTVIN HALF ICE 2","ORLEANS RUSH U9 A1","BLACKURN STINGERS U9 A1",""
"U9 - B","HLU9B075","2021-12-12","14:00","POTVIN HALF ICE 2","ORLEANS RUSH U9 B1","LEITRIM HAWKS U9 B1",""
"U9 - B","HLU9B074","2021-12-12","14:00","POTVIN HALF ICE 1","BLACKBURN STINGERS U9 B1","METCALFE JETS U9 B3",""
"U15 - B1","HLU15B143","2021-12-12","14:00","RUSSELL","RUSSELL WARRIORS U15 B1 (1)","BLACKBURN STINGERS U15 B1 (5)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B138","2021-12-12","15:00","RUSSELL","LEITRIM HAWKS U18 B3 (1)","LEITRIM HAWKS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B56","2021-12-12","16:00","METCALFE","RUSSELL WARRIORS U13 B2 (3)","RUSSELL WARRIORS U13 B1 (3)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B143","2021-12-12","16:00","RUSSELL","RUSSELL WARRIORS U18 B1 (1)","ORLEANS RUSH U18 B3 (4)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A21","2021-12-12","16:30","MANLEY","ORLEANS RUSH U11 A1 (5)","METCALFE JETS U11 A1 (1)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A28","2021-12-12","17:00","METCALFE","METCALFE JETS U13 A1","ORLEANS RUSH U13 A1","Game Results Need to be Entered"
"U13 - A","HLU13A23","2021-12-12","17:00","BARRETT EAST","LEITRIM HAWKS U13 A2","BLACKBURN STINGERS U13 A1","Game Results Need to be Entered"
"U18 - B1","HLU18B168","2021-12-12","17:00","SENECAL","LEITRIM HAWKS U18 B5","ORLEANS RUSH U18 B1","Game Results Need to be Entered"
"U15 - B1","HLU15B142","2021-12-12","17:30","MANLEY","GLOUCESTER CENTRE COUGARS U15B1 (5)","LEITRIM HAWKS U15 B1 (1)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C33","2021-12-12","17:30","EMBRUN","EMBRUN PANTHERS U13 C1","ORLEANS RUSH U13 C1","Game Results Need to be Entered"
"U18 - B2","HLU18250","2021-12-12","18:00","BLACKBURN","METCALFE JETS U18 B3 (1)","BLACKBURN STINGERS U18 B2 (3)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B243","2021-12-12","18:30","MANLEY","ORLEANS RUSH U15 B3 (2)","METCALFE JETS U15 B2 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A054","2021-12-12","19:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U18 A1 (1)","LEITRIM HAWKS U18 A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A055","2021-12-12","20:00","BLACKBURN","LEITRIM HAWKS U18 A2 (2)","METCALFE JETS U18 A1 (0)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A32","2021-12-13","19:00","BLACKBURN","BLACKBURN STINGERS U15 A1 (2)","ORLEANS RUSH U15 A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18264","2021-12-14","20:00","METCALFE","METCALFE JETS U18 B3","LEITRIM HAWKS U18 B2",""
"U18 - B2","HLU18246","2021-12-14","20:00","RUSSELL","RUSSELL WARRIORS U18 B2","ORLEANS RUSH U18 B2",""
"U18 - B1","HLU18B163","2021-12-14","20:30","BARRETT WEST","LEITRIM HAWKS U18 B5","ORLEANS RUSH U18 B1",""
"U18 - B1","HLU18B165","2021-12-14","21:00","METCALFE","METCALFE JETS U18 B1","ORLEANS RUSH U18 B3",""
"U18 - A","HLU18A056","2021-12-14","21:00","RUSSELL","RUSSELL WARRIORS U18 A1","ORLEANS RUSH U18 A1",""
"U18 - B1","HLU18B164","2021-12-14","21:30","BARRETT WEST","LEITRIM HAWKS U18 B3","LEITRIM HAWKS U18 B1",""
"U11 - B","HLU11B156","2021-12-15","18:30","BARRETT WEST","LEITRIM HAWKS U11 B1","LEITRIM HAWKS U11 B3",""
"U15 - A","HLU15A43","2021-12-15","20:30","BARRETT WEST","BLACKBURN STINGERS U15 A1","LEITRIM HAWKS U15 A2",""
"U18 - B1","HLU18B134","2021-12-15","21:30","BARRETT WEST","LEITRIM HAWKS U18 B1","ORLEANS RUSH U18 B3",""
"U9 - B","HLU9B082","2021-12-16","18:00","METCALFE HALF ICE 1","ORLEANS RUSH U9 B1","METCALFE JETS U9 B3",""
"U13 - B","HLU13B71","2021-12-16","18:00","RUSSELL","RUSSELL WARRIORS U13 B2","RUSSELL WARRIORS U13 B1",""
"U13 - B","HLU13B65","2021-12-17","18:00","METCALFE","METCALFE JETS U13 B1","METCALFE JETS U13 B2",""
"U15 - A","HLU15A38","2021-12-17","18:00","ARMSTRONG","LEITRIM HAWKS U15 A1","LEITRIM HAWKS U15 A2",""
"U11 - A","HLU11A17","2021-12-17","18:00","RUSSELL","LEITRIM HAWKS U11 A1","ORLEANS RUSH U11 A1",""
"U15 - B2","HLU15B244","2021-12-17","19:00","METCALFE","METCALFE JETS U15 B2","LEITRIM HAWKS U15 B3",""
"U18 - B2","HLU18262","2021-12-17","19:00","RUSSELL","GLOUCESTER CENTRE COUGARS U18 B1","LEITRIM HAWKS U18 B2",""
"U18 - A","HLU18A057","2021-12-17","19:00","ARMSTRONG","GLOUCESTER CENTRE COUGARS U18 A1","ORLEANS RUSH U18 A1",""
"U13 - B","HLU13B48","2021-12-17","19:30","BARRETT WEST","RUSSELL WARRIORS U13 B1","LEITRIM HAWKS U13 B2",""
"U18 - B1","HLU18B169","2021-12-17","20:00","RUSSELL","RUSSELL WARRIORS U18 B1","BLACKBURN STINGERS U18 B1",""
"U18 - B2","HLU18268","2021-12-17","20:00","SENECAL","ORLEANS RUSH U18 B2","METCALFE JETS U18 B3",""
"U18 - B1","HLU18B167","2021-12-17","20:30","BARRETT WEST","LEITRIM HAWKS U18 B1","METCALFE JETS U18 B1",""
"U18 - B1","HLU18B161","2021-12-17","21:00","SENECAL","ORLEANS RUSH U18 B3","ORLEANS RUSH U18 B1",""
"U18 - A","HLU18A058","2021-12-17","21:30","BARRETT WEST","LEITRIM HAWKS U18 A1","LEITRIM HAWKS U18 A2",""
"U9 - B","HLU9B078","2021-12-18","08:00","POTVIN HALF ICE 1","BLACKBURN STINGERS U9 B2","LEITRIM HAWKS U9 B3",""
"U9 - B","HLU9B029","2021-12-18","08:00","POTVIN HALF ICE 2","LEITRIM HAWKS U9 B4","LEITRIM HAWKS U9 B2",""
"U9 - C","HLU9C046","2021-12-18","09:00","POTVIN HALF ICE 2","BLACKBURN STINGERS 9C1","ORLEANS RUSH U9 C1",""
"U13 - B","HLU13B66","2021-12-18","09:00","RUSSELL","RUSSELL WARRIORS U13 B2","ORLEANS RUSH U13 B1",""
"U11 - A","HLU11A24","2021-12-18","10:00","RUSSELL","RUSSELL WARRIORS U11 A1","METCALFE JETS U11 A1",""
"U11 - B","HLU11B158","2021-12-18","10:00","POTVIN","GLOUCESTER CENTRE COUGARS U11 B2","BLACKBURN STINGERS U11 B1",""
"U13 - B","HLU13B67","2021-12-18","11:00","RUSSELL","RUSSELL WARRIORS U13 B1","ORLEANS RUSH U13 B2",""
"U11 - A","HLU11A23","2021-12-18","11:00","POTVIN","ORLEANS RUSH U11 A1","LEITRIM HAWKS U11 A1",""
"U11 - C","HLU11C13","2021-12-18","11:00","ARMSTRONG","BLACKBURN STINGERS U11 C1","METCALFE JETS U11 C1",""
"U15 - A","HLU15A47","2021-12-18","12:00","RUSSELL","RUSSELL WARRIORS U15 A1","METCALFE JETS U15 A1",""
"U9 - C","HLU9C027","2021-12-18","13:00","METCALFE HALF ICE 1","LEITRIM HAWKS U9 C2","RUSSELL WARRIORS U9 C1",""
"U9 - A","HLU9A035","2021-12-18","13:00","METCALFE HALF ICE 2","METCALFE JETS U9 A1","LEITRIM HAWKS U9 A2",""
"U15 - B1","HLU15B146","2021-12-18","13:00","RUSSELL","RUSSELL WARRIORS U15 B1","GLOUCESTER CENTRE COUGARS U15B1",""
"U9 - C","HLU9C044","2021-12-18","14:00","METCALFE HALF ICE 1","METCALFE JETS U9 C2","LEITRIM HAWKS U9 C1",""
"U15 - B2","HLU15B217","2021-12-18","14:00","SENECAL","METCALFE JETS U15 B2","LEITRIM HAWKS U15 B3",""
"U15 - B2","HLU15B246","2021-12-18","15:00","SENECAL","ORLEANS RUSH U15 B2","BLACKBURN STINGERS U15 B2",""
"U18 - A","HLU18A059","2021-12-18","15:00","METCALFE","METCALFE JETS U18 A1","RUSSELL WARRIORS U18 A1",""
"U13 - C","HLU13C29","2021-12-18","15:30","BARRETT WEST","LEITRIM HAWKS U13 C1","BLACKBURN STINGERS U13 C1",""
"U13 - B","HLU13B68","2021-12-18","16:00","SENECAL","GLOUCESTER CENTRE COUGARS U13B1","BLACKBURN STINGERS U13 B1",""
"U11 - B","HLU11B131","2021-12-18","16:00","METCALFE","METCALFE JETS U11 B1","ORLEANS RUSH U11 B2",""
"U18 - A","HLU18A063","2021-12-18","16:00","BLACKBURN","LEITRIM HAWKS U18 A2","BLACKBURN STINGERS U18 A1",""
"U13 - B","HLU13B69","2021-12-18","16:30","BARRETT WEST","GLOUCESTER CENTRE COUGARS U13B2","LEITRIM HAWKS U13 B1",""
"U13 - A","HLU13A30","2021-12-18","17:00","SENECAL","ORLEANS RUSH U13 A1","LEITRIM HAWKS U13 A2",""
"U13 - A","HLU13A29","2021-12-18","17:00","BLACKBURN","BLACKBURN STINGERS U13 A1","METCALFE JETS U13 A1",""
"U15 - B1","HLU15B145","2021-12-18","18:00","SENECAL","ORLEANS RUSH U15 B1","METCALFE JETS U15 B1",""
