"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"U9 - B","HLU9B041","2021-11-13","08:00","POTVIN HALF ICE 1","ORLEANS RUSH U9 B2","METCALFE JETS U9 B2",""
"U9 - C","HLU9C025","2021-11-13","09:00","POTVIN HALF ICE 1","GLOUCESTER CENTRE COUGARS U9C1","ORLEANS RUSH U9 C1",""
"U11 - A","HLU11A11","2021-11-13","09:00","RUSSELL","RUSSELL WARRIORS U11 A1 (2)","ORLEANS RUSH U11 A1 (3)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B043","2021-11-13","09:00","POTVIN HALF ICE 2","BLACKBURN STINGERS U9 B1","LEITRIM HAWKS U9 B2",""
"U11 - B","HLU11B132","2021-11-13","10:00","POTVIN","GLOUCESTER CENTRE COUGARS U11 B1 (8)","METCALFE JETS U11 B2 (1)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C15","2021-11-13","10:00","RUSSELL","RUSSELL WARRIORS U11 C1 (8)","METCALFE JETS U11 C1 (0)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C19","2021-11-13","11:00","RUSSELL","RUSSELL WARRIORS U13 C1 (11)","METCALFE JETS U13 C1 (2)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A29","2021-11-13","12:00","RUSSELL","RUSSELL WARRIORS U15 A1 (1)","LEITRIM HAWKS U15 A2 (4)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C024","2021-11-13","13:00","METCALFE HALF ICE 2","METCALFE JETS U9 C2","BLACKBURN STINGERS 9C1",""
"U9 - A","HLU9A018","2021-11-13","13:00","METCALFE HALF ICE 1","METCALFE JETS U9 A1","LEITRIM HAWKS U9 A1",""
"U13 - B","HLU13B35","2021-11-13","13:30","BARRETT WEST","ORLEANS RUSH U13 B1 (6)","LEITRIM HAWKS U13 B3 (1)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B157","2021-11-13","14:00","METCALFE","METCALFE JETS U11 B1 (4)","LEITRIM HAWKS U11 B2 (1)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B235","2021-11-13","14:00","SENECAL","ORLEANS RUSH U15 B3 (5)","BLACKBURN STINGERS U15 B2 (0)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B39","2021-11-13","14:30","BARRETT WEST","LEITRIM HAWKS U13 B1 (2)","METCALFE JETS U13 B1 (8)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B224","2021-11-13","15:00","METCALFE","METCALFE JETS U15 B2 (6)","LEITRIM HAWKS U15 B2 (3)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A28","2021-11-13","15:00","SENECAL","ORLEANS RUSH U15 A1 (4)","LEITRIM HAWKS U15 A1 (8)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A18","2021-11-13","15:30","BARRETT WEST","LEITRIM HAWKS U13 A1 (0)","LEITRIM HAWKS U13 A2 (1)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C20","2021-11-13","16:00","SENECAL","ORLEANS RUSH U13 C1 (2)","LEITRIM HAWKS U13 C1 (0)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C14","2021-11-13","16:00","BLACKBURN","BLACKBURN STINGERS U11 C1 (7)","LEITRIM HAWKS U11 C1 (2)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B131","2021-11-13","16:00","METCALFE","METCALFE JETS U18 B1 (2)","BLACKBURN STINGERS U18 B1 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A035","2021-11-13","16:00","BARRETT EAST","BLACKBURN STINGERS U18 A1 (0)","LEITRIM HAWKS U18 A1 (4)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18230","2021-11-13","16:30","BARRETT WEST","BLACKBURN STINGERS U18 B2 (3)","LEITRIM HAWKS U18 B4 (2)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B130","2021-11-13","17:00","BLACKBURN","BLACKBURN STINGERS U11 B1 (12)","LEITRIM HAWKS U11 B3 (2)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B40","2021-11-13","17:00","SENECAL","ORLEANS RUSH U13 B2 (2)","RUSSELL WARRIORS U13 B2 (3)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C21","2021-11-13","18:00","BLACKBURN","BLACKBURN STINGERS U13 C1 (4)","EMBRUN PANTHERS U13 C1 (2)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A19","2021-11-13","18:00","SENECAL","ORLEANS RUSH U13 A1 (4)","METCALFE JETS U13 A1 (3)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B41","2021-11-13","19:00","BLACKBURN","BLACKBURN STINGERS U13 B1 (8)","GLOUCESTER CENTRE COUGARS U13B2 (3)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B124","2021-11-13","20:00","BLACKBURN","ORLEANS RUSH U15 B1 (3)","BLACKBURN STINGERS U15 B1 (5)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B140","2021-11-13","21:00","BLACKBURN","LEITRIM HAWKS U15 B4 (4)","RUSSELL WARRIORS U15 B1 (6)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B046","2021-11-14","09:00","RUSSELL HALF ICE 2","RUSSELL WARRIORS U9 B1","METCALFE JETS U9 B1",""
"U9 - A","HLU9A019","2021-11-14","09:00","RUSSELL HALF ICE 1","RUSSELL WARRIORS U9 A1","LEITRIM HAWKS U9 A2",""
"U9 - C","HLU9C026","2021-11-14","11:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 C1","METCALFE JETS U9 C1",""
"U9 - B","HLU9B044","2021-11-14","11:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 B4","LEITRIM HAWKS U9 B1",""
"U9 - A","HLU9A034","2021-11-14","12:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 A1","ORLEANS RUSH U9 A1",""
"U9 - B","HLU9B045","2021-11-14","12:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 B3","LEITRIM HAWKS U9 B2",""
"U11 - B","HLU11B133","2021-11-14","13:30","BARRETT WEST","LEITRIM HAWKS U11 B3 (1)","ORLEANS RUSH U11 B2 (5)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B59","2021-11-14","14:00","POTVIN","GLOUCESTER CENTRE COUGARS U13B2 (5)","ORLEANS RUSH U13 B2 (8)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B134","2021-11-14","14:30","BARRETT WEST","LEITRIM HAWKS U11 B1 (1)","LEITRIM HAWKS U11 B2 (5)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C16","2021-11-14","14:30","MANLEY","ORLEANS RUSH U11 C1 (2)","BLACKBURN STINGERS U11 C1 (4)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B126","2021-11-14","15:00","SENECAL","BLACKBURN STINGERS U15 B1 (9)","RUSSELL WARRIORS U15 B1 (2)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A13","2021-11-14","15:00","METCALFE","METCALFE JETS U11 A1 (7)","RUSSELL WARRIORS U11 A1 (0)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A12","2021-11-14","15:30","BARRETT WEST","LEITRIM HAWKS U11 A1 (3)","ORLEANS RUSH U11 A1 (7)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B135","2021-11-14","15:30","MANLEY","ORLEANS RUSH U11 B1 (1)","GLOUCESTER CENTRE COUGARS U11 B1 (7)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B226","2021-11-14","16:00","SENECAL","ORLEANS RUSH U15 B2 (5)","LEITRIM HAWKS U15 B2 (6)","Game Results Entered & Game Sheet Received"
