"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"Juvenile","HLJUVB66","2020-02-11","20:30","RUSSELL","RSWARRIORS1 (2)","ORLEANS1 (2)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB144","2020-02-11","21:00","METCALFE","METCAFJETS2 (3)","ORLEANS2 (3)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB235","2020-02-12","19:00","ARMSTRONG","GCTCOUGARS1 (0)","BBSTINGERS2 (7)","Game Results Entered & Awaiting Game Sheet"
"Midget B1","HLMB145","2020-02-12","20:00","ARMSTRONG","GCTCOUGARS2 (1)","ORLEANS3 (1)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA106","2020-02-12","21:00","ARMSTRONG","LETRMHAWKS2 (9)","LETRMHAWKS1 (1)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA107","2020-02-12","22:00","ARMSTRONG","BBSTINGERS1 (2)","GCTCOUGARS1 (5)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA108","2020-02-13","18:30","RAY FRIEL 3","ORLEANS2 (3)","ORLEANS1 (5)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB146","2020-02-13","19:30","RAY FRIEL 3","ORLEANS2 (2)","METCAFJETS1 (3)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB147","2020-02-13","20:30","RAY FRIEL 3","BBSTINGERS1 (0)","ORLEANS3 (2)","Game Results Entered & Game Sheet Received"
"Novice A","HLNA80","2020-02-14","18:15","RICHCRAFT HEO 2 HALF","ORLEANS2","BBSTINGERS1",""
"Novice B","HLNB164","2020-02-14","18:15","RICHCRAFT HEO 1 HALF","ORLEANS3","ORLEANS1",""
"Novice A","HLNA79","2020-02-14","19:15","RICHCRAFT HEO 1 HALF","GCTCOUGARS1","RSWARRIORS1",""
"Novice C","HLNC82","2020-02-14","19:15","RICHCRAFT HEO 2 HALF","METCAFJETS1","BBSTINGERS1",""
